Pfam ID	number of PDBx structures	Family description
PF07679	11023	Immunoglobulin I-set domain
PF00514	5408	Armadillo/beta-catenin-like repeat
PF00400	5192	WD domain, G-beta repeat
PF07654	3146	Immunoglobulin C1-set domain
PF03377	2822	TAL effector repeat
PF00240	2391	Ubiquitin family
PF00106	2391	short chain dehydrogenase
PF13561	2381	Enoyl-(Acyl carrier protein) reductase
PF00069	2372	Protein kinase domain
PF13855	2160	Leucine rich repeat
PF00041	1904	Fibronectin type III domain
PF00432	1901	Prenyltransferase and squalene oxidase repeat
PF01344	1657	Kelch motif
PF00089	1620	Trypsin
PF00132	1594	Bacterial transferase hexapeptide (six repeats)
PF01239	1538	Protein prenyltransferase alpha subunit repeat
PF00806	1508	Pumilio-family RNA binding repeat
PF00084	1421	Sushi repeat (SCR repeat)
PF08659	1371	KR domain
PF00439	1358	Bromodomain
PF00210	1243	Ferritin-like domain
PF07714	1175	Protein tyrosine kinase
PF00042	1171	Globin
PF00227	1152	Proteasome subunit
PF00104	1122	Ligand-binding domain of nuclear hormone receptor
PF12799	1021	Leucine Rich repeats (2 copies)
PF00595	1016	PDZ domain (Also known as DHR or GLGF)
PF01473	1012	Putative cell wall binding repeat
PF00415	1005	Regulator of chromosome condensation (RCC1) repeat
PF13499	965	EF-hand domain pair
PF00435	918	Spectrin repeat
PF00630	899	Filamin/ABP280 repeat
PF00077	899	Retroviral aspartyl protease
PF13378	870	Enolase C-terminal domain-like
PF01048	862	Phosphorylase superfamily
PF07686	848	Immunoglobulin V-set domain
PF00067	830	Cytochrome P450
PF00028	830	Cadherin domain
PF00571	819	CBS domain
PF00903	817	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00049	800	Insulin/IGF/Relaxin family
PF02746	790	Mandelate racemase / muconate lactonizing enzyme, N-terminal domain
PF00561	784	alpha/beta hydrolase fold
PF00096	729	Zinc finger, C2H2 type
PF00171	720	Aldehyde dehydrogenase family
PF01353	719	Green fluorescent protein
PF00051	688	Kringle domain
PF13649	673	Methyltransferase domain
PF00129	670	Class I Histocompatibility antigen, domains alpha 1 and 2
PF00194	669	Eukaryotic-type carbonic anhydrase
PF13516	661	Leucine Rich repeat
PF00273	660	Serum albumin family
PF00378	655	Enoyl-CoA hydratase/isomerase
PF00076	649	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF01370	630	NAD dependent epimerase/dehydratase family
PF00059	609	Lectin C-type domain
PF08241	607	Methyltransferase domain
PF00139	597	Legume lectin domain
PF12697	594	Alpha/beta hydrolase family
PF02898	590	Nitric oxide synthase, oxygenase domain
PF12796	570	Ankyrin repeats (3 copies)
PF02931	570	Neurotransmitter-gated ion-channel ligand binding domain
PF00141	560	Peroxidase
PF00191	557	Annexin
PF00039	554	Fibronectin type I domain
PF05662	548	Coiled stalk of trimeric autotransporter adhesin
PF07645	537	Calcium-binding EGF domain
PF00056	529	lactate/malate dehydrogenase, NAD binding domain
PF02866	527	lactate/malate dehydrogenase, alpha/beta C-terminal domain
PF00071	524	Ras family
PF02518	513	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
PF00125	512	Core histone H2A/H2B/H3/H4
PF00626	511	Gelsolin repeat
PF02820	508	mbt repeat
PF00353	504	Haemolysin-type calcium-binding repeat (2 copies)
PF10584	497	Proteasome subunit A N-terminal signature
PF00107	488	Zinc-binding dehydrogenase
PF00644	485	Poly(ADP-ribose) polymerase catalytic domain
PF07992	479	Pyridine nucleotide-disulphide oxidoreductase
PF00337	476	Galactoside-binding lectin
PF00060	476	Ligand-gated ion channel
PF10613	474	Ligated ion channel L-glutamate- and glycine-binding site
PF01391	471	Collagen triple helix repeat (20 copies)
PF13450	470	NAD(P)-binding Rossmann-like domain
PF00509	467	Haemagglutinin
PF00440	464	Bacterial regulatory proteins, tetR family
PF00155	434	Aminotransferase class I and II
PF00233	432	3'5'-cyclic nucleotide phosphodiesterase
PF02081	431	Tryptophan RNA-binding attenuator protein
PF13847	429	Methyltransferase domain
PF07732	427	Multicopper oxidase
PF12146	418	Serine aminopeptidase, S33
PF08240	417	Alcohol dehydrogenase GroES-like domain
PF00583	413	Acetyltransferase (GNAT) family
PF00576	412	HIUase/Transthyretin family
PF00578	401	AhpC/TSA family
PF01394	400	Clathrin propeller repeat
PF00326	398	Prolyl oligopeptidase family
PF00072	398	Response regulator receiver domain
PF07859	396	alpha/beta hydrolase fold
PF00878	390	Cation-independent mannose-6-phosphate receptor repeat
PF00232	389	Glycosyl hydrolase family 1
PF00112	386	Papain family cysteine protease
PF00248	385	Aldo/keto reductase family
PF00017	383	SH2 domain
PF00074	380	Pancreatic ribonuclease
PF00890	377	FAD binding domain
PF00186	373	Dihydrofolate reductase
PF14497	369	Glutathione S-transferase, C-terminal domain
PF03061	366	Thioesterase superfamily
PF00753	366	Metallo-beta-lactamase superfamily
PF00701	366	Dihydrodipicolinate synthetase family
PF00128	357	Alpha amylase, catalytic domain
PF08832	354	Steroid receptor coactivator
PF00085	353	Thioredoxin
PF00334	348	Nucleoside diphosphate kinase
PF00355	342	Rieske [2Fe-2S] domain
PF00516	339	Envelope glycoprotein GP120
PF00202	339	Aminotransferase class-III
PF00718	335	Polyomavirus coat protein
PF00665	335	Integrase core domain
PF00348	333	Polyprenyl synthetase
PF00183	330	Hsp90 protein
PF02826	325	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
PF02775	322	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF00144	322	Beta-lactamase
PF00936	320	BMC domain
PF00102	318	Protein-tyrosine phosphatase
PF01593	316	Flavin containing amine oxidoreductase
PF00187	316	Chitin recognition protein
PF00027	316	Cyclic nucleotide-binding domain
PF02776	315	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain
PF00653	315	Inhibitor of Apoptosis domain
PF05175	314	Methyltransferase small domain
PF00137	314	ATP synthase subunit C
PF01738	313	Dienelactone hydrolase family
PF00291	313	Pyridoxal-phosphate dependent enzyme
PF00156	313	Phosphoribosyl transferase domain
PF00905	311	Penicillin binding protein transpeptidase domain
PF13489	310	Methyltransferase domain
PF13354	306	Beta-lactamase enzyme family
PF00199	306	Catalase
PF00692	305	dUTPase
PF06628	304	Catalase-related immune-responsive
PF08242	300	Methyltransferase domain
PF00068	300	Phospholipase A2
PF00656	299	Caspase domain
PF01547	298	Bacterial extracellular solute-binding protein
PF03446	297	NAD binding domain of 6-phosphogluconate dehydrogenase
PF00043	294	Glutathione S-transferase, C-terminal domain
PF00293	292	NUDIX domain
PF00135	291	Carboxylesterase family
PF00413	288	Matrixin
PF00574	287	Clp protease
PF00082	287	Subtilase family
PF00294	284	pfkB family carbohydrate kinase
PF01380	283	SIS domain
PF00018	283	SH3 domain
PF10417	281	C-terminal domain of 1-Cys peroxiredoxin
PF01382	281	Avidin family
PF00034	280	Cytochrome c
PF00254	279	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00881	277	Nitroreductase family
PF00045	276	Hemopexin
PF16363	274	GDP-mannose 4,6 dehydratase
PF00300	273	Histidine phosphatase superfamily (branch 1)
PF02373	271	JmjC domain, hydroxylase
PF00754	271	F5/8 type C domain
PF00502	270	Phycobilisome protein
PF13424	269	Tetratricopeptide repeat
PF13602	266	Zinc-binding dehydrogenase
PF02777	262	Iron/manganese superoxide dismutases, C-terminal domain
PF01220	262	Dehydroquinase class II
PF00491	262	Arginase family
PF00081	262	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00704	260	Glycosyl hydrolases family 18
PF00149	260	Calcineurin-like phosphoesterase
PF00127	260	Copper binding proteins, plastocyanin/azurin family
PF03807	258	NADP oxidoreductase coenzyme F420-dependent
PF00775	257	Dioxygenase
PF00793	255	DAHP synthetase I family
PF00150	255	Cellulase (glycosyl hydrolase family 5)
PF11799	254	impB/mucB/samB family C-terminal domain
PF02525	254	Flavodoxin-like fold
PF01979	252	Amidohydrolase family
PF00817	252	impB/mucB/samB family
PF00998	251	Viral RNA dependent RNA polymerase
PF00215	251	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF01073	249	3-beta hydroxysteroid dehydrogenase/isomerase family
PF01408	246	Oxidoreductase family, NAD-binding Rossmann fold
PF00703	246	Glycosyl hydrolases family 2
PF00565	245	Staphylococcal nuclease homologue
PF00394	245	Multicopper oxidase
PF14791	243	DNA polymerase beta thumb 
PF07676	243	WD40-like Beta Propeller Repeat
PF10391	242	Fingers domain of DNA polymerase lambda
PF01266	241	FAD dependent oxidoreductase
PF00850	241	Histone deacetylase domain
PF00652	241	Ricin-type beta-trefoil lectin domain
PF14716	240	Helix-hairpin-helix domain
PF00452	239	Apoptosis regulator proteins, Bcl-2 family
PF07883	238	Cupin domain
PF00557	238	Metallopeptidase family M24
PF00160	237	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF01467	232	Cytidylyltransferase-like
PF00168	232	C2 domain
PF01419	230	Jacalin-like lectin domain
PF02837	229	Glycosyl hydrolases family 2, sugar binding domain
PF00080	228	Copper/zinc superoxide dismutase (SODC)
PF00036	228	EF hand
PF14792	226	DNA polymerase beta palm 
PF13417	226	Glutathione S-transferase, N-terminal domain
PF08282	225	haloacid dehalogenase-like hydrolase
PF00012	225	Hsp70 protein
PF00005	225	ABC transporter
PF13738	223	Pyridine nucleotide-disulphide oxidoreductase
PF03989	223	DNA gyrase C-terminal domain, beta-propeller
PF02771	222	Acyl-CoA dehydrogenase, N-terminal domain
PF00133	222	tRNA synthetases class I (I, L, M and V)
PF00581	221	Rhodanese-like domain
PF01376	220	Heat-labile enterotoxin beta chain
PF00963	220	Cohesin domain
PF00343	220	Carbohydrate phosphorylase
PF00303	219	Thymidylate synthase
PF02836	217	Glycosyl hydrolases family 2, TIM barrel domain
PF00659	216	POLO box duplicated region
PF00307	214	Calponin homology (CH) domain
